STATE,Senate_Dem,Senate_Rep,House_Dem,House_Rep,Gov
AL,0.228571429,0.771428571,0.266666667,0.714285714,1
AK,0.35,0.65,0.375,0.55,1
AZ,0.433333333,0.566666667,0.483333333,0.516666667,1
AR,0.257142857,0.742857143,0.23,0.75,1
CA,0.725,0.275,0.7625,0.2125,-1
CO,0.542857143,0.457142857,0.630769231,0.369230769,-1
CT,0.611111111,0.388888889,0.602649007,0.397350993,-1
DE,0.571428571,0.428571429,0.634146341,0.365853659,-1
FL,0.425,0.575,0.383333333,0.608333333,1
GA,0.375,0.607142857,0.416666667,0.583333333,1
HI,0.96,0.04,0.901960784,0.098039216,-1
ID,0.2,0.714285714,0.2,0.8,1
IL,0.677966102,0.322033898,0.618644068,0.372881356,-1
IN,0.2,0.8,0.33,0.66,1
IA,0.36,0.64,0.47,0.53,1
KS,0.275,0.725,0.328,0.672,-1
KY,0.263157895,0.736842105,0.38,0.62,-1
LA,0.307692308,0.692307692,0.333333333,0.647619048,-1
ME,0.6,0.4,0.582781457,0.370860927,-1
MD,0.680851064,0.29787234,0.70212766,0.29787234,1
MA,0.9,0.1,0.79375,0.19375,1
MI,0.421052632,0.578947368,0.463636364,0.527272727,-1
MN,0.47761194,0.52238806,0.559701493,0.440298507,1
MS,0.307692308,0.653846154,0.368852459,0.598360656,1
MO,0.235294118,0.676470588,0.294478528,0.693251534,1
MT,0.4,0.6,0.42,0.58,-1
NE,0.367346939,0.612244898,0.367346939,0.612244898,1
NV,0.619047619,0.380952381,0.69047619,0.30952381,-1
NH,0.583333333,0.416666667,0.5775,0.395,1
NJ,0.625,0.375,0.65,0.35,-1
NM,0.619047619,0.380952381,0.657142857,0.342857143,-1
NY,0.634920635,0.317460317,0.686666667,0.28,-1
NC,0.42,0.54,0.45,0.533333333,-1
ND,0.212765957,0.787234043,0.159574468,0.840425532,1
OH,0.272727273,0.727272727,0.383838384,0.616161616,1
OK,0.1875,0.791666667,0.227722772,0.762376238,1
OR,0.6,0.4,0.633333333,0.366666667,-1
PA,0.42,0.56,31,36.33333333,-1
RI,0.868421053,0.131578947,0.88,0.12,-1
SC,0.413043478,0.586956522,0.35483871,0.629032258,1
SD,0.142857143,0.857142857,0.157142857,0.842857143,1
TN,0.151515152,0.848484848,0.262626263,0.737373737,1
TX,0.35483871,0.612903226,0.446666667,0.553333333,1
UT,0.206896552,0.793103448,0.213333333,0.786666667,1
VT,0.733333333,0.2,0.633333333,0.286666667,1
VA,0.525,0.475,0.55,0.45,-1
WA,0.591836735,0.408163265,0.581632653,0.418367347,-1
WV,0.411764706,0.588235294,0.41,0.58,1
WI,0.393939394,0.545454545,0.343434343,0.636363636,-1
WY,0.1,0.9,0.15,0.833333333,1